#,ごい,Vocabulary,Type,Meaning
207,いつ,itsu,Pronoun,when
208,五日,itsuka,Noun,the fifth day of the month / 5 days
,,いつか,,
209,五つ,itsutsu,"Noun, Numeric",five; 5
,,いつつ,,
210,言う,iu,"Verb, Godan verb",to say; to call
,,いう,,
211,嫌,iya,"Noun, Adjective, な-adjective",unpleasant
,,いや,,
212,じゃあ,jaa,Conjunction,then; well; so; well then
213,字引,jibiki,Noun,dictionary
,,じびき,,
214,自分,jibun,Pronoun,myself; yourself; oneself; himself; herself; i; me
,,じぶん,,
215,自動車,jidousha,Noun,automobile; motorcar; motor vehicle; car
,,じどうしゃ,,
216,時間,jikan,Noun,time; hour(s)
,,じかん,,
217,辞書,jisho,Noun,dictionary
,,じしょ,,
218,自転車,jitensha,Noun,bicycle
,,じてんしゃ,,
219,丈夫,joubu,"Adjective, な-adjective","strong, durable"
,,じょうぶ,,
220,上手,jouzu,"Noun, Adjective, な-adjective",skillful; skilled; proficient; good (at)
,,じょうず,,
221,授業,jugyou,"Noun, Suru verb",lesson; class work
,,じゅぎょう,,
222,十,juu,"Noun, Numeric",ten; 10
,,じゅう,,
223,かばん,kaban,Noun,bag; basket​
224,花瓶,kabin,Noun,a vase
,,かびん,,
225,角,kado,Noun,a corner; angle​
,,かど,,
226,帰る,kaeru,"Verb, Godan verb, Intransitive verb",to go back​
,,かえる,,
227,返す,kaesu,"Verb, Godan verb, Transitive verb",to return something
,,かえす,,
228,鍵,kagi,Noun,key
,,かぎ,,
229,階段,kaidan,Noun,stairs; stairway; staircase
,,かいだん,,
230,買い物,kaimono,Noun,shopping; purchased goods
,,かいもの,,
231,会社,kaisha,Noun,company; corporation
,,かいしゃ,,
232,掛かる,kakaru,"Verb, Godan verb, Intransitive verb","to take (a resource, e.g. time or money)"
,,かかる,,
233,掛ける,kakeru,"Verb, Ichidan verb, Transitive verb",to hang up; to make (a call)​;
,,かける,,
234,書く,kaku,"Verb, Godan verb, Transitive verb",to write; to compose; to pen; to draw
,,かく,,
235,カメラ,kamera,"Noun, Katakana",camera
236,紙,kami,Noun,paper
,,かみ,,
237,漢字,kanji,Noun,kanji
,,かんじ,,
238,カップ,kappu,"Noun, Katakana",cup
239,体,karada,Noun,body
,,からだ,,
240,辛い,karai,い-adjective,spicy
,,からい,,
241,カレー,karee,"Noun, Katakana",curry
242,カレンダー,karendaa,"Noun, Katakana",calendar
