Kanji,Kana,Romaji,Type,Meaning
くれる,くれる,kureru,V-ichi,"to give, to do for"
～員,～いん,～in,Suf,member of ~
原因,げんいん,genin,N,"cause, origin, source"
驚く,おどろく,odoroku,V-godan,"to be surprised, to be astonished"
いただく,頂く,頂ku,Expr,-- extra-modest expression for たべる and のむ
祖母,そぼ,sobo,N,grandmother
場所,ばしょ,basho,N,"place, location"
答,こたえ,kotae,N,"answer, response"
もちろん,もちろん,mochiron,Adv,"certainly, of course"
漬ける,つける,tsukeru,V-ichi,"to soak, to moisten, to pickle"
受付,うけつけ,uketsuke,N,reception desk
内,うち,uchi,N,"within, inside"
スクリーン,スクリーン,sukuriin,N(kat),screen
増える,ふえる,fueru,V-ichi,"to increase, to multiply"
または,または,mataha,N,"or, otherwise"
けがする,けがする,kegasuru,N,"injury, hurt"
以下,いか,ika,N,"less than, below"
選ぶ,えらぶ,erabu,V-godan,"to choose, to select"
～ばかり,～ばかり,～bakari,Suf,"just did ~, only"
心,こころ,kokoro,N,"heart, mind"
～だす,～だす,～dasu,Suf,to start doing ~
サラダ,サラダ,sarada,N(kat),salad
届ける,とどける,todokeru,V-ichi,to deliver
挨拶,あいさつする,aisatsusuru,N,greet
景色,けしき,keshiki,N,"scenery, landscape"
確か,たしか,tashika,N,"if I remember correctly, certain"
ステーキ,ステーキ,suteeki,N(kat),steak
食料品,しょくりょうひん,shokuryouhin,N,"foodstuff, groceries"
森,もり,mori,N,forest
以内,いない,inai,い-A,"within, less  than"
予定,よてい,yotei,N,"plans, arrangement, schedule"
オーバー,オーバー,oobaa,N(kat),"overcoat, over, exceeding"
乾く,かわく,kawaku,V-godan,to get dry
石,いし,ishi,N,stone
思い出す,おもいだす,omoidasu,V-godan,"to recall, to remember"
踊る,おどる,odoru,V-godan,to dance
細かい,こまかい,komakai,い-A,"small, fine, minute"
塗る,ぬる,nuru,V-godan,"to paint, to plaster"
ご主人,ごしゅじん,goshujin,N,"(your, her) husband"
珍しい,めずらしい,mezurashii,N,"unusual, rare"
用,よう,you,N,"errand, task, business"
公務員,こうむいん,koumuin,N,"government worker, public servant"
お嬢さん,おじょうさん,ojousan,N,daughter
用意,ようい,youi,N,preparation
探す,さがす,sagasu,V-godan,"to search, to seek, to look for"
形,かたち,katachi,N,shape
運転,うんてんする,untensuru,N,driving
